Timestamp,drink_category,drink_name,drink_rating
6/26/19 18:02,Non-Alcoholic,Blood Orange Pellegrino's,84
6/26/19 18:03,Non-Alcoholic,Blood Orange Pellegrino's,85
6/26/19 18:04,Non-Alcoholic,Blood Orange Pellegrino's,88
6/26/19 18:10,Non-Alcoholic,Grapefruit LaCroix,90
6/26/19 18:10,Non-Alcoholic,Grapefruit LaCroix,80
6/26/19 18:11,Non-Alcoholic,Blood Orange Pellegrino's,98
6/26/19 18:11,Non-Alcoholic,Blood Orange Pellegrino's,84
6/26/19 18:15,Non-Alcoholic,Grapefruit LaCroix,82
6/26/19 18:15,Non-Alcoholic,Lemonade,100
6/26/19 18:18,Non-Alcoholic,Blood Orange Pellegrino's,98
6/26/19 18:18,Non-Alcoholic,Grapefruit LaCroix,80
6/26/19 18:19,Non-Alcoholic,Blood Orange Pellegrino's,100
6/26/19 18:28,Non-Alcoholic,Lemonade,89
6/26/19 18:29,Non-Alcoholic,Grapefruit LaCroix,82
6/26/19 18:29,Non-Alcoholic,Lemonade,82
6/26/19 18:44,Non-Alcoholic,Grapefruit LaCroix,93
6/26/19 18:44,Non-Alcoholic,Blood Orange Pellegrino's,92
6/26/19 18:52,Non-Alcoholic,Blood Orange Pellegrino's,88
6/26/19 17:59,Wine/Champagne,Red Blend,85
6/26/19 18:04,Wine/Champagne,Sauvignon Blanc,83
6/26/19 18:07,Wine/Champagne,Sauvignon Blanc,85
6/26/19 18:10,Wine/Champagne,Rose (La Vieille Ferme),90
6/26/19 18:10,Wine/Champagne,Malbec,87
6/26/19 18:10,Wine/Champagne,Rose (La Vieille Ferme),88
6/26/19 18:10,Wine/Champagne,Rose (La Vieille Ferme),90
6/26/19 18:11,Wine/Champagne,Red Blend,96
6/26/19 18:12,Wine/Champagne,Rose (La Vieille Ferme),85
6/26/19 18:12,Wine/Champagne,Rose (La Vieille Ferme),89
6/26/19 18:13,Wine/Champagne,Champagne - Brut,80
6/26/19 18:13,Wine/Champagne,Rose (La Vieille Ferme),80
